Gene,A11.C636,A11,E9,HAP1.C597,KBM7
VCAM1,0.10,0.10,0.01,0.07,0.00
VCAN,0.01,0.00,0.04,0.02,0.02
VCL,2.58,2.25,2.07,2.33,0.88
VCP,41.72,32.36,29.58,40.94,14.55
VCPIP1,0.72,0.56,0.55,0.65,1.64
VCPKMT,1.01,0.99,0.93,0.96,1.12
VCX2,0.00,0.00,0.01,0.00,0.00
VDAC1,9.92,7.90,8.02,9.75,6.01
VDAC2,6.93,4.38,4.57,6.93,4.61
VDAC3,14.96,10.33,9.35,14.95,17.47
VDR,0.06,0.03,0.01,0.05,0.23
VEGFA,2.16,2.10,2.00,2.14,3.13
VEGFB,12.16,15.07,13.91,12.01,6.09
VEGFC,0.03,0.02,0.03,0.01,0.00
VENTX,0.03,0.04,0.02,0.01,0.02
VEPH1,0.00,0.00,0.00,0.00,0.00
VEZF1,2.26,2.30,2.62,2.27,1.63
VEZT,1.01,0.77,0.70,1.09,0.69
VGF,0.24,0.20,0.43,0.17,0.64
VGLL1,0.00,0.00,0.00,0.00,0.00
VGLL2,1.11,0.97,0.00,0.00,0.00
VGLL3,0.10,0.10,0.05,0.07,0.10
VGLL4,0.30,0.30,0.20,0.27,0.29
VHL,6.77,5.95,5.50,6.67,5.84
VHLL,0.06,0.01,0.01,0.04,0.02
VIL1,0.42,0.25,0.24,0.42,0.32
VILL,0.52,0.67,0.70,0.51,0.68
VIM,10.61,8.24,65.56,13.91,52.77
VIMP,8.26,6.69,6.30,7.90,3.08
VIPAS39,0.74,0.71,0.72,0.67,0.98
VIPR1,0.01,0.01,0.01,0.01,0.25
VIPR2,0.00,0.00,0.00,0.00,0.00
VIT,0.01,0.01,0.02,0.01,0.00
VKORC1,12.07,10.43,10.55,12.68,9.81
VKORC1L1,0.94,0.70,0.71,0.95,0.72
VLDLR,1.10,0.61,0.63,1.00,0.85
VMA21,8.05,6.28,5.70,7.61,7.25
VMAC,0.31,0.36,0.35,0.18,0.40
VMO1,0.05,0.15,0.34,0.09,0.09
VMP1,0.65,0.56,0.43,0.63,0.61
VN1R2,0.00,0.00,0.00,0.00,0.00
VN1R4,0.00,0.00,0.01,0.00,0.00
VNN1,0.00,0.00,0.00,0.00,0.03
VNN2,0.00,0.00,0.00,0.00,0.02
VOPP1,0.65,0.47,0.40,0.56,0.31
