Gene,A11.C636,A11,E9,HAP1.C597,KBM7
C4orf17,0.00,0.00,0.00,0.00,0.00
C4orf19,0.16,0.20,0.17,0.16,0.10
C4orf21,0.51,0.42,0.39,0.51,0.52
C4orf22,0.00,0.00,0.00,0.00,0.00
C4orf26,0.02,0.02,0.02,0.01,0.01
C4orf27,1.16,1.08,1.01,1.14,1.01
C4orf29,0.32,0.28,0.22,0.31,0.26
C4orf3,11.39,8.08,7.11,12.71,8.59
C4orf32,0.86,1.38,1.34,1.03,1.81
C4orf33,0.97,0.67,0.57,0.85,0.60
C4orf36,0.16,0.09,0.09,0.15,0.12
C4orf45,0.21,0.16,0.09,0.23,0.10
C4orf46,9.21,7.56,6.32,8.32,8.81
C4orf47,0.02,0.02,0.02,0.02,0.01
C4orf48,0.83,0.59,0.61,0.93,0.81
C4orf50,0.00,0.00,0.00,0.00,0.00
C5,0.01,0.01,0.01,0.01,0.06
C5AR1,0.01,0.01,0.03,0.01,0.06
C5AR2,0.00,0.00,0.00,0.00,0.88
C5orf15,4.92,3.93,3.99,5.07,3.79
C5orf17,0.02,0.01,0.02,0.02,0.01
C5orf22,2.51,2.12,1.80,2.37,1.20
C5orf24,4.01,3.60,3.02,4.08,3.76
C5orf27,0.00,0.01,0.00,0.00,0.01
C5orf28,0.21,0.17,0.18,0.23,0.44
C5orf30,1.16,0.96,0.79,1.05,1.62
C5orf34,23.73,18.33,16.98,24.56,38.74
C5orf38,1.91,3.70,1.33,1.22,0.00
C5orf42,0.19,0.17,0.10,0.12,0.09
C5orf45,1.47,1.95,2.25,1.32,1.51
C5orf46,0.00,0.00,0.00,0.00,0.00
C5orf47,0.00,0.00,0.00,0.00,0.00
C5orf48,0.01,0.01,0.02,0.01,0.01
C5orf49,0.01,0.02,0.01,0.01,0.00
C5orf51,4.98,3.86,3.41,4.97,2.52
C5orf52,0.00,0.00,0.00,0.00,0.00
C5orf54,0.91,0.57,0.64,0.78,0.67
C5orf55,1.63,1.67,1.99,1.73,1.20
C5orf56,0.01,0.01,0.01,0.01,0.14
C5orf58,0.00,0.00,0.00,0.00,0.07
C5orf60,0.00,0.01,0.01,0.01,0.00
C5orf63,0.00,0.00,0.00,0.00,0.00
C5orf64,0.00,0.00,0.00,0.00,0.00
C5orf66,0.50,0.37,0.34,0.47,0.45
C6,0.00,0.00,0.00,0.00,0.00
C6ORF165,0.01,0.00,0.01,0.01,0.00
C6ORF50,0.02,0.02,0.02,0.03,0.11
C6orf1,4.87,4.91,3.69,4.98,3.83
C6orf10,0.13,0.04,0.04,0.12,0.16
C6orf100,0.11,0.07,0.05,0.17,0.82
C6orf106,0.76,0.72,0.72,0.84,0.31
C6orf118,0.01,0.00,0.01,0.00,0.00
C6orf120,10.17,8.68,9.01,9.94,11.36
C6orf123,0.00,0.00,0.00,0.00,0.00
C6orf132,0.00,0.00,0.00,0.00,0.00
C6orf136,2.31,2.65,3.09,2.21,1.59
C6orf141,0.70,0.60,0.81,0.63,2.20
C6orf163,0.05,0.08,0.08,0.06,0.13
C6orf164,0.09,0.05,0.08,0.03,0.09
C6orf165,0.03,0.02,0.02,0.04,0.04
C6orf195,0.00,0.01,0.01,0.00,0.00
C6orf201,1.26,0.88,0.95,1.09,0.95
C6orf203,0.77,0.67,0.63,0.67,0.48
C6orf211,12.07,7.48,6.98,12.80,6.54
C6orf222,0.00,0.00,0.00,0.00,0.00
C6orf223,0.00,0.00,0.00,0.00,0.40
C6orf226,1.65,2.77,3.23,2.00,0.98
C6orf229,0.03,0.01,0.01,0.00,0.00
C6orf25,0.02,0.01,0.05,0.02,0.05
C6orf47,9.16,9.19,9.47,9.53,5.87
C6orf48,15.69,17.55,19.09,14.33,28.95
C6orf52,0.12,0.14,0.16,0.16,0.11
C6orf57,0.29,0.26,0.30,0.23,0.55
C6orf58,0.00,0.00,0.00,0.00,0.00
C6orf62,5.33,4.20,4.60,5.08,5.88
C6orf89,0.87,0.79,0.69,0.85,0.52
C6orf99,0.04,0.04,0.01,0.03,0.00
C7,0.00,0.00,0.00,0.00,0.00
C7orf25,3.16,2.24,2.02,2.77,2.80
C7orf26,1.59,1.66,1.39,1.46,1.19
C7orf31,0.33,0.31,0.25,0.30,0.24
C7orf33,0.00,0.00,0.00,0.00,0.00
C7orf34,0.00,0.00,0.02,0.00,0.00
C7orf43,3.66,4.00,4.51,3.50,2.99
C7orf49,8.26,7.18,8.18,7.94,7.69
C7orf50,0.41,0.50,0.56,0.41,0.34
C7orf55,2.92,2.45,2.39,2.94,2.22
C7orf55-LUC7L2,3.35,3.29,2.94,3.37,2.44
C7orf57,0.01,0.01,0.01,0.00,0.00
C7orf60,0.09,0.05,0.03,0.08,0.14
C7orf61,0.07,0.07,0.07,0.07,0.16
C7orf63,0.04,0.03,0.04,0.03,0.04
C7orf69,0.00,0.00,0.00,0.00,0.00
C7orf71,0.01,0.01,0.01,0.00,0.00
C7orf72,0.00,0.00,0.00,0.00,0.00
C7orf73,4.85,3.90,3.59,4.41,5.04
C7orf76,0.00,0.00,0.00,0.00,0.00
C8A,0.00,0.00,0.00,0.00,0.00
C8B,0.00,0.00,0.00,0.00,0.00
C8G,0.12,0.19,0.22,0.07,0.08
C8orf12,0.01,0.01,0.01,0.00,0.00
C8orf22,0.00,0.00,0.00,0.00,0.00
C8orf31,0.01,0.03,0.17,0.03,0.00
C8orf33,23.08,20.38,20.60,21.84,19.30
C8orf34,0.00,0.00,0.00,0.00,0.00
C8orf37,0.19,0.18,0.18,0.15,0.25
C8orf4,0.00,0.00,0.07,0.00,0.00
C8orf44,0.60,0.63,0.66,0.67,4.39
C8orf44-SGK3,0.13,0.09,0.09,0.11,0.45
C8orf46,0.01,0.01,0.00,0.04,0.00
C8orf47,0.38,0.29,0.17,0.50,0.08
C8orf48,0.02,0.05,0.10,0.05,0.26
C8orf49,0.00,0.00,0.00,0.01,0.00
C8orf56,0.01,0.03,0.08,0.02,1.07
C8orf58,1.56,1.86,2.51,1.70,2.45
C8orf59,12.71,8.92,8.78,11.79,24.00
C8orf76,1.48,1.20,1.19,1.39,2.15
C8orf82,2.53,2.60,2.61,2.15,3.14
C8orf86,0.01,0.01,0.01,0.01,0.00
C8orf87,0.00,0.00,0.00,0.00,0.00
C8orf88,0.02,0.00,0.01,0.04,0.57
C9,0.00,0.00,0.00,0.00,0.00
C9orf114,7.54,8.80,9.53,6.83,6.26
C9orf116,1.31,1.62,1.41,1.06,0.22
C9orf117,1.01,1.11,0.98,1.01,0.71
C9orf129,0.25,0.25,0.27,0.23,0.14
C9orf131,0.01,0.02,0.02,0.01,0.01
C9orf135,0.05,0.03,0.01,0.27,0.00
C9orf139,0.01,0.02,0.03,0.02,0.53
C9orf141,0.00,0.01,0.00,0.00,0.00
C9orf142,19.54,19.80,24.49,18.44,16.26
C9orf152,0.00,0.00,0.01,0.00,0.02
C9orf153,0.01,0.00,0.01,0.01,0.00
C9orf156,1.38,1.50,1.18,1.31,1.17
C9orf16,5.02,7.09,8.70,4.86,5.52
C9orf163,0.22,0.24,0.31,0.22,0.50
C9orf169,0.72,0.83,1.18,0.56,0.18
C9orf170,0.00,0.00,0.00,0.00,0.00
C9orf171,0.01,0.01,0.01,0.01,0.00
C9orf173,0.15,0.34,0.42,0.18,0.27
C9orf24,0.09,0.07,0.08,0.07,0.01
C9orf3,0.03,0.02,0.02,0.02,0.02
C9orf37,4.03,5.07,5.67,4.15,3.90
C9orf38,0.00,0.00,0.00,0.00,0.01
C9orf40,3.37,2.55,2.52,3.17,3.72
C9orf41,0.32,0.31,0.24,0.32,0.37
C9orf43,0.04,0.05,0.07,0.03,0.03
C9orf47,0.02,0.04,0.00,0.03,0.00
C9orf50,0.01,0.01,0.01,0.00,0.01
C9orf53,0.24,0.15,0.15,0.14,0.47
C9orf57,0.00,0.00,0.00,0.00,0.00
C9orf64,0.01,0.00,0.00,0.00,0.00
C9orf66,0.09,0.07,0.05,0.07,0.15
C9orf69,8.74,10.71,10.12,8.76,5.59
C9orf72,0.59,0.46,0.37,0.54,0.39
C9orf78,9.43,10.44,10.14,9.75,8.04
C9orf84,0.00,0.00,0.01,0.00,0.01
C9orf85,0.20,0.18,0.11,0.18,0.19
C9orf89,0.78,0.99,1.06,0.74,0.92
C9orf9,0.26,0.34,0.45,0.24,0.35
C9orf91,0.38,0.37,0.31,0.38,0.51
C9orf92,0.00,0.00,0.00,0.00,0.00
C9orf96,0.05,0.06,0.06,0.06,0.04
CA1,0.00,0.00,0.00,0.00,0.01
CA10,0.00,0.00,0.00,0.00,0.00
CA11,1.19,1.36,1.62,1.39,1.42
CA12,0.00,0.00,0.00,0.00,0.00
CA13,0.14,0.11,0.09,0.13,0.26
CA14,0.14,0.15,0.13,0.11,0.07
CA2,2.06,1.22,1.34,1.51,1.36
CA3,0.02,0.04,0.02,0.02,0.05
CA4,0.00,0.00,0.00,0.00,0.06
CA5A,0.55,0.60,0.66,0.45,0.76
CA5B,0.43,0.41,0.34,0.33,0.16
CA6,0.01,0.01,0.00,0.00,0.00
CA7,0.25,0.11,0.05,0.11,0.35
CA8,0.13,0.09,0.24,0.05,0.96
CA9,0.00,0.00,0.00,0.01,0.00
CAAP1,0.71,0.54,0.54,0.65,0.49
CAB39,1.56,1.51,1.52,1.52,2.35
CAB39L,0.11,0.11,0.06,0.08,0.08
CABIN1,0.44,0.46,0.43,0.45,0.45
CABLES1,0.13,0.09,0.05,0.12,0.12
CABLES2,1.73,1.99,2.05,1.71,1.16
CABP1,0.07,0.04,0.06,0.06,0.02
CABP2,0.00,0.00,0.00,0.00,0.00
CABP4,0.00,0.00,0.01,0.00,0.01
CABP5,0.00,0.00,0.00,0.00,0.00
CABP7,0.30,0.49,0.59,0.30,0.27
CABYR,0.35,0.27,0.18,0.36,0.05
CACFD1,1.08,1.36,1.28,0.87,0.25
CACHD1,0.25,0.22,0.22,0.25,0.07
CACNA1A,0.00,0.00,0.00,0.00,0.00
CACNA1B,0.00,0.00,0.00,0.00,0.00
CACNA1C,0.00,0.00,0.00,0.00,0.00
CACNA1D,0.01,0.01,0.02,0.01,0.02
CACNA1E,0.00,0.00,0.00,0.00,0.00
CACNA1F,0.00,0.00,0.00,0.00,0.00
CACNA1G,0.02,0.01,0.02,0.01,0.01
CACNA1H,0.03,0.05,0.07,0.03,0.69
CACNA1S,0.00,0.00,0.00,0.00,0.00
CACNA2D1,0.06,0.06,0.06,0.06,0.00
CACNA2D2,0.87,1.03,0.76,0.93,0.02
CACNA2D3,0.05,0.05,0.04,0.05,0.02
CACNA2D4,0.00,0.00,0.00,0.00,0.13
CACNB1,0.29,0.28,0.30,0.28,0.11
CACNB2,0.03,0.05,0.06,0.04,0.01
CACNB3,3.52,3.40,3.38,3.24,1.67
CACNB4,0.02,0.02,0.02,0.02,0.01
CACNG1,0.00,0.00,0.00,0.00,0.00
CACNG2,0.00,0.00,0.00,0.00,0.00
CACNG3,0.00,0.00,0.00,0.00,0.00
CACNG4,0.00,0.01,0.00,0.00,0.00
CACNG5,0.00,0.00,0.00,0.00,0.00
CACNG6,0.00,0.00,0.00,0.00,0.00
CACNG7,0.09,0.12,0.03,0.09,0.00
CACNG8,0.01,0.01,0.01,0.01,0.02
CACTIN,2.20,3.04,3.16,2.36,1.90
CACUL1,0.97,0.69,0.46,0.97,0.69
CACYBP,17.20,12.01,10.85,15.78,6.79
CAD,10.35,11.33,13.40,11.28,7.20
CADM1,0.06,0.06,0.00,0.00,0.00
CADM2,0.01,0.01,0.01,0.01,0.00
CADM3,0.00,0.00,0.00,0.00,0.00
CADM4,1.44,1.46,1.43,1.41,0.55
CADPS,0.00,0.00,0.00,0.00,0.00
CADPS2,0.04,0.04,0.04,0.04,0.07
CAGE1,0.77,0.86,0.84,0.75,1.56
CALB1,0.02,0.02,0.01,0.28,0.02
CALB2,0.00,0.00,0.00,0.00,0.00
CALCA,0.00,0.00,0.00,0.00,0.00
CALCB,0.00,0.01,0.00,0.00,0.00
CALCOCO1,1.22,1.64,1.26,1.03,2.42
CALCOCO2,1.88,1.27,1.22,1.74,1.78
CALCR,0.00,0.00,0.01,0.00,0.00
CALCRL,0.00,0.00,0.00,0.00,0.04
CALD1,0.64,0.64,0.47,0.63,0.00
CALHM1,0.03,0.04,0.00,0.02,0.01
CALHM2,3.08,3.40,0.92,3.47,3.19
CALHM3,0.00,0.00,0.00,0.00,0.01
CALM1,19.58,13.80,14.15,16.92,5.68
CALM2,28.00,17.05,19.21,28.72,20.06
CALM3,59.87,69.04,70.42,63.69,22.43
CALML3,0.03,0.00,0.00,0.01,0.00
CALML4,1.78,2.39,2.20,3.91,3.27
CALML6,0.06,0.08,0.21,0.10,0.06
CALN1,0.00,0.00,0.00,0.00,0.01
CALR,157.35,160.21,142.49,149.84,100.32
CALR3,0.02,0.01,0.01,0.02,0.00
CALU,8.85,7.29,7.40,8.91,4.36
CALY,0.00,0.01,0.00,0.00,0.01
CAMK1,0.45,0.61,0.69,0.41,0.58
CAMK1D,0.02,0.02,0.01,0.02,0.01
CAMK1G,0.00,0.00,0.00,0.00,0.00
CAMK2A,0.00,0.00,0.00,0.00,0.00
CAMK2B,0.02,0.03,0.01,0.02,0.00
CAMK2D,0.14,0.13,0.19,0.11,0.00
CAMK2G,0.74,0.81,0.87,0.73,0.89
CAMK2N1,1.44,1.52,1.10,1.78,0.17
CAMK2N2,0.58,0.83,0.80,0.60,0.32
CAMK4,0.09,0.06,0.05,0.09,0.00
CAMKK1,0.20,0.23,0.25,0.21,0.14
CAMKK2,0.98,1.07,0.96,0.99,1.20
CAMKMT,0.03,0.03,0.03,0.03,0.04
CAMKV,2.11,1.92,2.23,2.02,0.30
CAMLG,2.68,1.82,1.73,2.82,6.07
CAMP,0.00,0.00,0.02,0.00,0.02
CAMSAP1,1.01,1.05,1.08,1.08,0.58
CAMSAP2,0.76,0.66,0.63,0.74,0.01
CAMSAP3,0.87,0.98,1.10,0.82,0.46
CAMTA1,0.03,0.02,0.02,0.03,0.02
CAMTA2,3.15,4.64,4.56,2.97,1.41
CAND1,6.46,3.82,3.57,6.06,3.32
CAND2,0.83,0.84,0.84,0.77,0.06
CANT1,2.75,2.49,2.52,2.69,2.24
CANX,40.65,30.55,27.98,39.64,26.04
CAP1,11.45,9.56,9.22,10.52,7.65
CAP2,0.18,0.17,0.16,0.17,0.00
CAPG,0.07,0.03,0.02,0.15,1.79
CAPN1,4.17,4.23,3.80,4.00,3.13
CAPN10,2.35,3.23,3.33,2.57,1.71
CAPN11,0.00,0.00,0.00,0.00,0.29
CAPN12,0.03,0.04,0.05,0.02,0.09
CAPN13,0.00,0.00,0.00,0.00,0.00
CAPN14,0.00,0.00,0.00,0.00,0.00
CAPN15,2.06,3.11,3.16,2.16,1.28
CAPN2,2.60,2.37,2.31,2.86,1.67
CAPN3,0.11,0.21,0.14,0.10,0.10
CAPN5,0.24,0.30,0.33,0.19,0.19
CAPN6,0.02,0.02,0.02,0.12,0.00
CAPN7,1.10,0.82,0.75,1.08,0.66
CAPN8,0.02,0.01,0.01,0.02,0.01
CAPN9,0.00,0.01,0.01,0.01,0.00
CAPNS1,20.78,24.46,27.17,19.67,12.95
CAPNS2,0.00,0.01,0.01,0.00,0.05
CAPRIN1,13.18,12.05,11.44,12.53,6.72
CAPRIN2,0.77,0.70,0.71,0.63,0.48
CAPS,0.34,0.59,0.56,0.26,1.04
CAPS2,0.01,0.01,0.01,0.01,0.02
CAPSL,0.00,0.00,0.00,0.00,0.00
CAPZA1,4.57,3.17,2.87,4.41,3.84
CAPZA2,3.93,2.35,1.06,1.78,0.95
CAPZB,1.22,1.11,1.25,1.25,1.01
CARD10,0.68,0.58,0.72,0.58,0.06
CARD11,0.00,0.00,0.00,0.00,0.24
CARD14,0.09,0.13,0.19,0.07,0.01
CARD16,0.01,0.01,0.00,0.04,0.27
CARD6,0.19,0.07,0.02,0.12,0.34
CARD8,0.40,0.41,0.49,0.43,3.12
CARD9,0.10,0.24,0.41,0.14,0.15
CARF,0.06,0.07,0.08,0.06,0.23
CARHSP1,3.76,4.11,3.34,3.20,2.14
CARKD,2.42,2.46,2.60,2.20,1.93
CARM1,2.96,3.11,3.19,3.07,1.84
CARNS1,0.02,0.05,0.05,0.02,0.06
CARS,2.00,1.50,1.69,1.86,1.72
CARS2,1.14,1.10,1.15,1.03,0.73
CASC1,0.01,0.01,0.00,0.01,0.00
CASC10,0.70,0.62,1.45,0.84,0.36
CASC3,4.16,4.46,4.47,4.30,4.40
CASC4,0.19,0.18,0.18,0.18,0.15
CASC5,0.89,0.80,0.71,0.94,0.93
CASD1,0.38,0.30,0.37,0.40,0.57
CASK,0.36,0.32,0.28,0.36,0.20
CASKIN1,1.16,1.72,1.98,1.20,0.98
CASKIN2,1.44,1.73,1.99,1.44,0.75
CASP1,0.00,0.00,0.00,0.00,0.13
CASP10,0.01,0.00,0.01,0.03,0.60
CASP14,0.00,0.00,0.00,0.01,0.00
CASP16,0.03,0.02,0.04,0.02,0.05
CASP2,3.29,3.55,3.46,3.06,4.23
CASP3,4.06,2.31,2.05,3.43,2.88
CASP4,0.01,0.01,0.00,0.01,5.62
CASP5,0.00,0.00,0.00,0.00,0.02
CASP6,2.29,1.92,1.45,2.63,1.34
CASP7,0.93,0.74,0.56,0.85,0.57
CASP8,0.51,0.41,0.36,0.59,1.11
CASP9,0.40,0.33,0.33,0.39,0.35
CASQ1,0.01,0.01,0.01,0.01,0.01
CASQ2,0.00,0.00,0.00,0.00,0.00
CASR,0.00,0.00,0.00,0.00,0.02
CASS4,0.00,0.00,0.01,0.01,0.08
CAST,2.19,1.80,1.70,2.10,1.65
CASZ1,0.07,0.06,0.05,0.07,0.05
CAT,2.38,1.93,1.58,2.01,8.83
CATSPER1,0.00,0.00,0.00,0.00,0.03
CATSPER2,0.16,0.17,0.17,0.19,0.30
CATSPER3,0.05,0.05,0.05,0.05,0.05
CATSPER4,0.00,0.00,0.00,0.00,0.00
CATSPERB,0.01,0.01,0.01,0.01,0.00
CATSPERD,0.00,0.00,0.00,0.00,0.00
CATSPERG,0.02,0.02,0.08,0.01,0.02
CAV1,0.02,0.01,0.02,0.05,0.00
CAV2,0.64,0.40,0.52,0.86,0.01
CAV3,0.00,0.01,0.01,0.01,0.00
CBFA2T2,0.10,0.09,0.09,0.09,0.09
CBFA2T3,0.00,0.00,0.00,0.00,0.40
CBFB,1.69,1.14,0.95,1.49,1.20
CBL,0.60,0.48,0.57,0.60,0.70
CBLB,0.09,0.08,0.05,0.08,0.08
CBLC,0.00,0.00,0.00,0.00,0.00
CBLL1,2.16,2.40,2.46,2.21,2.14
CBLN1,0.38,0.32,0.29,0.37,0.05
CBLN2,0.00,0.01,0.03,0.00,0.00
CBLN3,0.43,0.53,0.68,0.46,0.36
CBR1,19.19,17.84,16.93,17.85,14.62
CBR3,0.93,0.68,0.50,0.83,0.61
CBR4,2.81,2.18,1.93,2.59,1.35
CBS,21.03,23.25,26.51,20.85,9.36
CBWD1,0.64,0.78,0.69,0.61,0.53
CBWD2,0.53,0.50,0.46,0.49,0.47
CBWD3,0.47,0.50,0.42,0.43,0.37
CBWD5,2.36,3.01,2.39,2.37,1.32
CBWD6,18.30,21.27,16.53,16.70,8.06
CBX1,3.76,3.29,3.41,3.92,2.42
CBX2,2.94,3.12,3.14,2.67,1.05
CBX3,24.85,17.37,17.63,24.33,14.69
CBX4,2.79,2.85,3.61,2.62,2.62
CBX5,5.23,4.60,5.03,5.11,4.96
CBX6,5.06,5.10,4.72,4.95,2.45
CBX7,0.13,0.16,0.20,0.14,0.28
CBX8,3.87,4.14,5.17,3.44,1.63
CBY1,1.00,0.93,1.03,0.85,0.67
CC2D1A,1.73,2.19,2.12,1.66,1.52
CC2D1B,4.25,4.77,4.99,4.11,2.40
CC2D2A,0.30,0.35,0.33,0.26,0.09
CC2D2B,0.00,0.00,0.00,0.00,0.00
CCAR1,3.23,2.83,3.05,3.25,2.24
CCAR2,14.01,14.80,15.12,13.54,14.30
CCBE1,0.00,0.00,0.00,0.00,0.00
CCBL1,0.47,0.41,0.43,0.45,0.43
CCBL2,2.47,1.70,1.26,2.31,1.68
CCDC101,0.36,0.48,0.52,0.36,0.47
CCDC102A,0.18,0.26,0.31,0.20,0.33
CCDC102B,0.00,0.00,0.00,0.00,0.01
CCDC103,0.36,0.30,0.36,0.29,0.04
CCDC104,1.50,1.29,1.24,1.26,1.01
CCDC105,0.00,0.00,0.00,0.00,0.00
CCDC106,3.99,5.55,5.68,3.96,2.76
CCDC107,5.69,6.44,8.05,5.11,4.34
CCDC108,0.00,0.00,0.00,0.00,0.00
CCDC109B,0.59,0.39,0.27,0.62,0.33
CCDC11,0.05,0.05,0.04,0.03,0.03
CCDC110,0.05,0.03,0.03,0.06,0.01
CCDC112,0.86,0.90,0.82,0.87,0.79
CCDC113,0.09,0.13,0.18,0.11,0.06
CCDC114,0.05,0.05,0.05,0.05,0.05
CCDC115,5.99,6.17,5.45,5.35,7.50
CCDC116,0.06,0.08,0.09,0.06,0.09
CCDC117,4.90,3.50,3.14,4.83,2.97
CCDC12,0.59,0.73,0.72,0.60,0.47
CCDC120,1.71,2.45,2.60,1.61,1.51
CCDC121,1.23,1.29,1.36,1.46,0.63
CCDC122,0.11,0.09,0.16,0.10,0.16
CCDC124,6.77,9.37,10.69,7.19,3.70
CCDC125,0.31,0.24,0.19,0.30,0.32
CCDC126,0.12,0.09,0.07,0.11,0.10
CCDC127,1.12,1.11,1.08,1.13,0.71
CCDC129,0.00,0.00,0.00,0.00,0.00
CCDC13,0.01,0.02,0.02,0.01,0.01
CCDC130,1.15,1.58,1.91,1.13,1.30
CCDC132,0.21,0.19,0.16,0.23,0.10
CCDC134,0.21,0.23,0.20,0.20,0.17
CCDC135,0.00,0.00,0.00,0.00,0.03
CCDC136,1.08,1.20,1.05,1.05,2.04
CCDC137,10.13,12.13,12.40,10.18,3.88
CCDC138,0.27,0.21,0.22,0.26,0.19
CCDC14,4.10,4.29,3.86,3.57,4.08
CCDC141,0.00,0.00,0.00,0.00,0.00
CCDC142,0.93,1.14,1.30,0.89,0.34
CCDC144A,0.06,0.04,0.03,0.05,0.09
CCDC144NL,0.01,0.01,0.01,0.01,0.02
CCDC146,0.02,0.02,0.01,0.03,0.02
CCDC147,0.00,0.00,0.00,0.00,0.00
CCDC148,0.00,0.00,0.00,0.00,0.00
CCDC149,0.02,0.02,0.02,0.02,0.02
CCDC15,0.11,0.12,0.11,0.09,0.14
CCDC150,0.22,0.27,0.28,0.20,0.16
CCDC151,0.12,0.14,0.16,0.13,0.02
CCDC152,0.01,0.00,0.00,0.01,0.00
CCDC153,0.03,0.03,0.06,0.02,0.07
CCDC154,0.06,0.18,0.18,0.07,0.61
CCDC155,0.00,0.00,0.00,0.00,0.00
CCDC157,0.27,0.30,0.32,0.21,0.14
CCDC158,0.10,0.10,0.08,0.11,0.11
CCDC159,0.22,0.32,0.36,0.21,0.97
CCDC160,0.02,0.01,0.05,0.03,0.00
CCDC163P,1.72,1.59,1.51,1.97,0.97
CCDC167,1.10,0.99,0.88,1.23,0.78
CCDC169,0.09,0.07,0.08,0.08,0.12
CCDC169-SOHLH2,0.11,0.09,0.10,0.09,0.13
CCDC17,0.09,0.13,0.23,0.09,0.20
CCDC170,0.00,0.00,0.01,0.01,0.16
CCDC171,0.01,0.01,0.01,0.01,0.01
CCDC172,0.00,0.00,0.00,0.00,0.00
CCDC173,0.03,0.02,0.02,0.03,0.03
CCDC174,0.83,0.81,0.85,0.80,1.18
CCDC175,0.01,0.00,0.00,0.01,0.00
CCDC176,0.56,0.41,0.38,0.54,0.52
CCDC178,0.00,0.00,0.00,0.00,0.00
CCDC179,0.00,0.00,0.00,0.00,0.00
CCDC18,0.23,0.20,0.26,0.23,0.48
CCDC180,0.09,0.11,0.11,0.08,0.15
CCDC181,0.04,0.03,0.02,0.05,0.01
CCDC183,0.64,0.96,1.36,0.63,0.53
CCDC19,0.04,0.03,0.04,0.04,0.04
CCDC22,1.81,2.21,2.33,1.70,2.82
CCDC23,0.93,0.76,0.84,0.80,0.76
CCDC24,0.87,0.93,1.45,0.73,0.23
CCDC25,1.63,1.28,1.16,1.57,3.18
CCDC27,0.01,0.01,0.02,0.02,0.02
CCDC28A,0.63,0.48,0.47,0.58,1.16
CCDC28B,3.09,3.17,3.11,3.18,2.37
CCDC3,0.29,0.25,0.26,0.27,0.25
CCDC30,0.00,0.00,0.00,0.00,0.01
CCDC33,0.00,0.00,0.00,0.00,0.00
CCDC34,1.47,1.14,1.28,1.46,0.86
CCDC36,0.00,0.00,0.00,0.00,0.00
CCDC37,0.00,0.00,0.00,0.00,0.00
CCDC38,0.02,0.01,0.01,0.01,0.01
CCDC39,0.07,0.07,0.06,0.06,0.07
CCDC40,0.19,0.22,0.20,0.17,0.04
CCDC41,0.21,0.17,0.18,0.21,0.29
CCDC42,0.00,0.00,0.00,0.00,0.00
CCDC43,4.78,4.76,4.55,4.84,2.91
CCDC47,5.46,4.15,3.81,5.73,3.06
CCDC50,1.18,1.07,0.89,1.11,1.21
CCDC51,5.27,5.07,4.83,5.77,2.46
CCDC53,0.43,0.41,0.37,0.40,0.41
CCDC54,0.00,0.00,0.01,0.00,0.01
CCDC57,0.21,0.28,0.28,0.18,0.45
CCDC58,1.61,1.67,1.68,1.59,0.83
CCDC59,12.01,10.82,11.99,11.03,5.79
CCDC6,0.88,0.67,0.50,0.83,0.51
CCDC60,0.00,0.00,0.00,0.00,0.00
CCDC61,0.31,0.36,0.35,0.32,0.38
CCDC62,0.04,0.02,0.03,0.03,0.17
CCDC63,0.01,0.01,0.01,0.01,0.00
CCDC64,0.06,0.05,0.05,0.05,0.00
CCDC64B,0.01,0.00,0.01,0.00,0.00
CCDC65,1.68,1.56,1.83,1.51,1.85
CCDC66,0.49,0.48,0.44,0.44,0.48
CCDC67,0.00,0.00,0.00,0.00,0.00
CCDC68,0.03,0.02,0.03,0.04,0.00
CCDC69,0.70,0.60,0.33,0.68,1.02
CCDC7,0.08,0.05,0.05,0.08,0.08
CCDC71,7.36,7.17,8.07,7.71,6.04
CCDC71L,1.65,1.22,1.14,1.96,3.15
CCDC73,0.23,0.14,0.13,0.21,0.20
CCDC74A,1.50,1.80,1.49,1.03,0.19
CCDC74B,1.51,1.55,1.42,1.09,0.15
CCDC77,0.78,0.76,0.75,0.75,0.63
CCDC78,2.06,3.68,5.15,2.04,1.08
CCDC79,0.00,0.00,0.00,0.00,0.00
CCDC8,0.01,0.02,0.05,0.20,0.00
CCDC80,0.67,0.45,0.56,0.84,0.00
CCDC81,0.02,0.02,0.02,0.02,0.01
CCDC82,1.07,1.01,1.18,0.91,1.12
CCDC83,0.01,0.01,0.02,0.01,0.01
CCDC84,0.48,0.61,0.81,0.50,0.34
CCDC85A,0.00,0.00,0.00,0.00,0.00
CCDC85B,7.07,8.34,8.94,6.81,6.11
CCDC85C,1.15,1.08,1.02,1.11,0.47
CCDC86,16.58,21.04,21.69,16.60,5.45
CCDC87,0.22,0.17,0.18,0.17,0.04
CCDC88A,0.71,0.53,0.57,0.70,1.22
CCDC88B,0.19,0.19,0.09,0.09,1.15
CCDC88C,0.15,0.11,0.10,0.13,0.13
CCDC9,0.90,1.20,1.42,0.88,0.72
CCDC90B,1.42,1.08,0.97,1.22,1.17
CCDC91,0.07,0.06,0.05,0.07,0.05
CCDC92,0.36,0.50,0.55,0.36,0.58
CCDC93,0.63,0.64,0.57,0.61,0.72
CCDC94,1.05,1.45,1.57,1.08,0.68
CCDC96,0.48,0.34,0.35,0.40,0.18
CCDC97,2.98,4.24,4.61,3.18,2.28
CCER1,0.00,0.00,0.00,0.00,0.00
CCHCR1,1.67,2.11,2.64,1.53,1.40
CCIN,0.01,0.01,0.02,0.02,0.00
